Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
04/03/2021,AQS,60730001,1,0.056,ppm,54,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/04/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/05/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/06/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/07/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/08/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/09/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/10/2021,AQS,60730001,1,0.05,ppm,46,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/11/2021,AQS,60730001,1,0.055,ppm,51,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/12/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,13,76.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/13/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/14/2021,AQS,60730001,1,0.052,ppm,48,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/15/2021,AQS,60730001,1,0.051,ppm,47,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/16/2021,AQS,60730001,1,0.053,ppm,49,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/17/2021,AQS,60730001,1,0.054,ppm,50,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/18/2021,AQS,60730001,1,0.059,ppm,64,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/19/2021,AQS,60730001,1,0.054,ppm,50,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/20/2021,AQS,60730001,1,0.044,ppm,41,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/21/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/22/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/23/2021,AQS,60730001,1,0.044,ppm,41,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/24/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/25/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/26/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/27/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/28/2021,AQS,60730001,1,0.049,ppm,45,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/29/2021,AQS,60730001,1,0.06,ppm,67,Chula Vista,16,94.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
04/30/2021,AQS,60730001,1,0.063,ppm,77,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/01/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/02/2021,AQS,60730001,1,0.038,ppm,35,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/03/2021,AQS,60730001,1,0.043,ppm,40,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/04/2021,AQS,60730001,1,0.054,ppm,50,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/05/2021,AQS,60730001,1,0.052,ppm,48,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/06/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,16,94.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/07/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/08/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/09/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/10/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/11/2021,AQS,60730001,1,0.048,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/12/2021,AQS,60730001,1,0.052,ppm,48,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/13/2021,AQS,60730001,1,0.053,ppm,49,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/14/2021,AQS,60730001,1,0.053,ppm,49,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/15/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/16/2021,AQS,60730001,1,0.047,ppm,44,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/17/2021,AQS,60730001,1,0.045,ppm,42,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
05/18/2021,AQS,60730001,1,0.046,ppm,43,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
